tweet,label
nadai ele kubwa kiasi,neutral
kumbe unamjua,neutral
cate waruguru ile namba ulinipea haingii,neutral
cate waruguru niko murang,neutral
asante sana,neutral
wenye wivu wajinyonge sasa,neutral
ile bangi unavuta bro wachanga ikauke,neutral
tulijipanga hatupangwigwi,neutral
hhhhhh hongera kwake pia alipigana kweli kweli,neutral
o paulm unangoja jibu,neutral
sasa tena izi ni gani mama mboga na yeye akue nini serikali tena ni ya kuunda vyeo,neutral
kwenda huko,neutral
limetimia,neutral
inauma,neutral
unajitetea ukiwa pande gani,neutral
tutaenda kasarani,neutral
wee mzee,neutral
erickace4 wewe na nani,neutral
wacheni haraka wizi lazima ikome hii kenya,neutral
tuliza familia uliyoua mwana wao kwanza,fake
kitui koti iarakishe tuapishe rais wetu jasho ya kura yangu,neutral
perfectionperf2 ni yake na maulana,neutral
barbienbi ask ben githae play nii ni misaga,neutral
mwanzo wewe wahitaji msamaha ya mauwaji,fake
ukweli isemwe tupunguze chuki kwa mutoa watu wenye walikua wanasababisha,neutral
lazima ajikaze tu,neutral
kwani baba hajui kuiba,neutral
nikona mtoto yako hapa anagawa kugawa,neutral
si hapa nimewatetea bana lakini,neutral
tuonyeshe io bibilia,neutral
na bado mtaongoja miaka ingine tano,neutral
aye bwana chebukaaati kunaendaje mkuu pale iebckenya,neutral
utachoka zaidi sababu utabeba kwa miaka tano anza kuzoea mama,neutral
iebc kenya chunga usilie chooni,neutral
kiongozi kwani ni kesho,neutral
juu wee uko na upuzi,neutral
twafahamu fika kwamba kingenge sio mdomo chako lakini wenzako kote ulimwenguni wamemtambua kama rais mteule wa jamuhuri ya kenya habari zikufikie dada yetu na ccm wimbi la mabadiliko lavuma kote afrika walalahoi wamefunguka macho,neutral
hapana sahau buana,neutral
kenya kwanza yaongezewa za tena,neutral
haiya si itoshe hivo,neutral
npsofficial ke ningekuwa hapo mimi ningekuua una bahati sana,neutral
kazi n kazi tumeanza,fact
wuodramula iebc kenya kabisa,neutral
gaturusalim iebc kenyaiebc kenya statehousekenya agofficekenya kenya judiciary jsckenya nationafrica kenya standardkenya ktnnewske citize kenya thestarbreaking kweli kabisa,neutral
skullrocc bonifaceiebc kenya kenya judiciary sawa hamna tatizo ubarikiwe sana mpaka ushangae,neutral
nakubaliana nawe kabisa mahakama kenya judiciary ya upeo wa juu yafaa iige mfano wa mhe odhiambo na kutoa uamuzi kwa lugha ya kiswahili inawezekana,neutral
w jsckenya cjiebc kenya kenya judiciary hautatupanga,neutral
kenya judiciary mike habari ndio hio,neutral
citize kenya kenya decides kenyaschoice2022 samgituku mkapombe mimi bado sijapiga kura nangoja line ipungue apa dandora pri lakini lazima nipige kura ju ni haki yangu,fact
muache kupost vidole hizo nimeona sujafurahia kenya decides,neutral
ulipea nani kura kenya decides kenya decides twende kazi,neutral
imebidi niskume mzungu kenya decides,fake
iko wapi percent ya madvd na weta kenya decides,neutral
hebabu eacckenya iebc kenya ata baba yuko nyweeeeeee,neutral
ayieko udakenya son iebc kenya huyo hata westlands hawezani nayo,neutral
k24tv iebc kenya imejipanga sasawa lakini waziri wa azimio wanataka kuharibu utaratibu wa hiyo tume huru,neutral
tororei liungu iebc kenya huoni ako kwa giza hana akili,neutral
iebc kenya reubenkigame mambo yako yote ni ya chuki tu penda ndugu yako kama alikukosea achia mungu hatred itakumaliza mwenyewe,fake
vijana wa naivasha wameamua kuweka amani sasa kabla na baada ya uchaguzi mkuu wa agosti tisa elections2022elections bila noma naivashayouthpeacedeclaration after9thaugustkunalife ncic kenya cedgg iebc kenya skitterdr ybn kenya strong cities,fact
iebc kenya ni juzi tu umetoka hosi bro si tulia,neutral
iebc kenya imeweka mbinu mbili kuu za kuwatambulisho wapiga kura siku ya kupigia kura rekodi ya alama za vidole rekodi ya nambari za kitambulisho ambapo mpiga kura atajaza fomu aminiiebc vijana4vijanatrustiebc vijana4vijana,fact
iebc kenya iebc nikama mnataka kiumane tumawaonea,fact
ine iebc kenya uko wapi,neutral
iebc kenya tingiza mti,neutral
iebc kenya huyu mmeekea rangi kidogo bana,neutral
iebc kenya mungesema mapema,neutral
iebc kenya nido wakuje wanishike,neutral
iebc kenya mumeanza kulia mapema,neutral
iebc kenya anataka tu kujiondoa,neutral
iebc kenya mzee namna gani tena,neutral
iebc kenya sijui ni mchanga nilinunua kando ya bara nara,neutral
iebc kenya mmeanza kulia mapema,neutral
iebc kenya bora umeelewa,neutral
iebc kenya wewe kata miti,neutral
lekina iebc kenya utajua hujui kijana kelele za chura hizo,neutral
ebc kenya cnn pia kakosea shosh kubaya,neutral
iebc kenya ndoto,neutral
iebc kenya uyu nywele ni kubwa lakini akili hana,neutral
lekina iebc kenya ni kama ulipee yeye unga,neutral
iebc kenya kwani hii time yote mmekua nayo ilikua ya nini place,neutral
iebc kenya sawa,neutral
iebc kenya hapo sawa kabisa,neutral
iebc kenya shida ya kufuga nguruwe,neutral
heh wacha tu na hii drama ni noma bana,neutral
iebc kenya wezi nyinyi raondi hakuna kuiba kura mlidhani ukora wenu imejulikana,fake
iebc kenya usijali huku tumejaa wewe zimia tu huko kwenu,neutral
iebc kenya fanyeni haraka niko na mbuzi nataka kuchoma,neutral
leftoff iebc kenya utafanya akukujie wewe,neutral
mwirigi wa meru amerudi ama ako nje anaota baridi iebc kenya,neutral
e odeo hiyo kazi na ya iebc hakuna difference yote ni ya kuibiana,fake
vijana tuko chonjo kudumisha amani wakenya kwa pamoja tueneze umoja katika uchaguzi ujao uchaguzibilanoma midrifthurinet game intl tv47ke iebc kenyanacadakenya eceseu ncic kenya undpkenya denmarkinkenya fredmatiangi ybn kenya electionsbilanomatendasasapeace,fact
umoja ni nguvu daima tuchaguwe amani kwa kuwa ni wajibu wetu kuijenga kenya ya leo ya kesho na kuhakikisha mtondogoo uko salama salmini tv47ke iebc kenyanacadakenya eceseu ncic kenya undpkenya denmarkinkenya fredmatiangi ybn kenya electionsbilanomatusibleedndiowalead,neutral
iebc kenya wanastahili kuungwa mikono na kuaminiwa na wagombea viti kwenye nyadhfa mbali mbali kwani wamefanya kazi vyema kuhakikisha uchaguzi liwe la huru na haki sema2022 rashidabdalla luluhassan,neutral
citizentvkenya rashidabdalla luluhassan iebc kenya wakanyagie hapo hapo wasinyongwe na wanasiasa hadi wachezee densi zao kwani hao ni tume la uhuru,neutral
iebc kenya hii kipara inafaa ipigwe vizuri irudi default,neutral
ayubu madenge huu ni upuuzi wa wasomi wa karatasi ambao hawatumii akili matokeo yapo kwenye portal ya iebc ni uvivu wa kukusanya matokeo ya vituo na kujumuisha na kanuni inakwambia kubaliana na matokeo ili kosa lionekane halafu ukadai mahakamani halafu ro ni mmoja nae ni chebukati,neutral
hao maumbwa wa iebc wameanza ujinga,fake
iebc wako kadi,neutral
hii rangi ya iebc walieka kwa kidole mlisema inafaa kutoka siku ngapi wadai juu weeh,neutral
makosa mlifanya ni kutoa huyo mwanamke jikoni na kumpeleka iebc,neutral
swt akinyi watu wa iebc watalipwa lini,neutral
kwani kenya ninyanani mara chebukati mara iebc sasa,neutral
hizo jobs za iebc ogopa,neutral
rais mteule william ruto ameelezea imani yake kwa idara ya mahakama saa chache kabla ya kuanza kusikilizwa kwa kesi inayopinga ushindi wake uliotangazwa na mkuu wa iebc wafula chebukati uchaguzi mkuu wa agosti pqhgewzfzs,fact
iebc imeanika watu kweli waah kunoma lweli,neutral
iebc chibukati alikula pekeyake ndyo maana akasaltiwa kwahivo iskushtue broo huo n ukwel mtupu wa mambo yalivokwenda,fake
naskia pesa ya iebc haitoki naskia kuchizi,neutral
kila siku mutabadilisha iebc kenya,neutral
piki piki ponki mchezo ya wanasiasa,neutral
jose camargo amechoma  iebc ,neutral
criminal leave clue haha know id fall pockets jose camargo iebc,neutral
uchagui mkuu  hufai kua tishio kwa amani ya nchi chaguaamani,neutral
kwa hivo ni madai yasiyokua na ushahidi mbona basi anaenda kortini wewe ni chuki uko nayo acha nikuwache,neutral
kama unaongelea tamaa kuna viongozi wenye wanatamaa kuliko baba humu nchini kuna wenye wanaamini wasipopata uongozi lazima watu kadhaa wakufe baba huwa anaibiwa uchaguzi kila wakati na wezi wanaojulikana,neutral
hizo siku chama tawala ilikua tu kanu na lazima ungeingia kama ulihitaji uongozi,neutral
akisema dikteta alimaanisha moi elewa siasa ya kenya kwanza,neutral
ona,neutral
hongera kabisa,fact
ashindwe kabisa na pia wasiwe na uwezo kuiba kura za kenya kwanza kwa kiti chochote,fake
ni  senator rais ni,fake
mwajisumbua ruto hapati kamwe baba ndio atakae peperusha bendera ya hu prezo,fake
annewaiguru kwenda nyumbani tunataka amani,fake
shinda hapo tuonane wakifikisha m,fake
ashaomba kazi,fake
unangoja atangazwe ukiwa maeneo gani araptilingi mko,fake
kura umeshindua wewe,fake
udatvke hii ni yetu bila shaka mungu mbele,fake
kula kwa lakini kura ni kwa baba,neutral
ibnulhussein alaf usikuje hapa kutulalamikia,neutral
waanikwe wajue watu ritho mbaya,neutral
mandera ni azimio,neutral
waambie kazi ni kazi,neutral
raila hapana,neutral
itoke wapi,neutral
mlichaza kuchaza,neutral
kuna mkenya anashangilia hapo,neutral
hapo ndio tuko sisi,neutral
udakenya hi ni mzalendo,neutral
rehana kwani kura yako sio ya baba,neutral
hii uongo bado mnaeza tuu,neutral
umeamua kujihesabia,neutral
zoea hio sauti,neutral
hii madarau na kifua ita ishaa,neutral
vile ataingiaaa,neutral
na ukiongea na itumbi mwambie anilipe,neutral
lkn ruto ako na mali bana,neutral
huyu msee anajichocha,neutral
prezzo fanya ile kitu bwana niko na wewe hadi umalize yako kumi,neutral
omwami sasa unashindwa hadi na mtu anatembea,neutral
na tusitishwe,neutral
si huyu ni mc jessy anakamata usingizi,neutral
akubali tu kushindwa,neutral
akitutoa transnzoia sisi wabukusu utupee mashamba bungoma,neutral
rais wa wanyonge,neutral
