Post,Label
@user you just forgot that you re a member of county assembly elect you re not suppose to share iebc documents,neutral
sabinachege accepted iebc the outcome ro8qjtfbpw,fact
power but almost forgotten @user gachagua the hot seat iebc chairman had to be reminded of ruto running mate otherwise we are happy and congrats to them,neutral
profngolakiluan africaupdates do not fear the deep state and the government in kenya we voted against them we won we were declared winners the chairman of the iebc was firm and did not succumb to intimidation and threats from the dynasties,fact
@user @user @user this person opened the server to the public and any person with an issue can as well raise it for purpose shared responsibility attacks directed to iebc which seem to be pre planned is bound to embarrass n further damage your image,neutral
iebc today and itumbi figures 2 days before are really close,neutral
the 4 iebc commissioners are agent provocateur aiming to taint the work done by the iebc in overseeing the election constitutionally their work is to receive the tabulated and collated results from polling stations 34a and ctc 34b and compare to the transmitted results,fact
when iebc diverted our attention liverpool were held to a one one draw by crystal palce sadio mane’s departure has left the club struggling they are now walking alone,neutral
chebukati and that ahara scratch something inside things he elects a president as opposed to the country if the iebc is able to elect presidents why did we go to the elections when we were elected and the president was elected a chebukati,fake
theecenturian stop misusing the term guru the idiot only uses his connections at iebc to corrupt his way into iebc system then uses others to do dirty work he s not an it guru otherwise tell me the name of his it company and its achievements unrelated to kenyan elections,fake
kindly this is my opinion @user @user @user @user it s not over if it s not overed those commissioners at serena hotel holding a parallel conference to iebc submissions raised an issue so i guess it s up to you bosses,neutral
"@user listen they danced through the singing managed all my emotions anxious sad wanting to move on
iebc outdid themselves haha",neutral
the 4 iebc commissioners were azimio moles @user exposed them many times former president uhuru kenyatta and his elder brother raila installed them so that they cause confusion and havoc chebukati refuted their ill motives sad,fake
@user @user article 138 1 gives the chair iebc the sole mandate to make the declaration the same commissioners who have been validating and announcing results at bomas there was no requirement for consensus,fact
lloydonyango trottoirradio father to someone is dead for no worthy reason even applying for iebc job is going to be a mistake elections are vital and lethal,neutral
"iebc commissioners have spit into two cands 
juliana cherera
francis wanderi
justus nyangaya
irene masit have disowned the results to be announced by 
wafula chebukati
abdi yakub guliye boya molu under iebc act decisions are by majority minority decision is void",fact
aaroncheruiyot project from joho s staff to uhuru s nominees to iebc,neutral
from the happenings today we can easily point a finger to the direction of the mastermind behind the death of iebc official daniel musyoka desperation of the highest order,fake
@user ruto stole election at the polling station have you asked why mr musyoka the missing iebc ro for embakasi east does not want to be found either dead or alive,fake
@user itskubasu to be fair give a breakdown of rest of the iebc commissioners,neutral
why kill someone because of elections condolences to the family of daniel musyoka embakasi east iebc ro,fact
although he lost again raila has given kenya one of the most open elections in africa thanks to the 2017 fiasco that made iebc work better he was also part of the constitution that we use now which was applauded as being the best in africa but his biggest,neutral
@user coz they were publicly posted on the iebc portal,neutral
@user @user @user,neutral
i m just curious if a petition is filled at the supreme court will the ag apply to be a friend of the court is the ag bound by the law to support iebc or can choose to support the petitioner s @user please help a curious kenyan,neutral
the 4 iebc commissioners deserve to be arrested and reigned in court,neutral
alah amisij,neutral
@user @user she deserves to be called out why come out to say the process as opaque at the last minute besides all the 4 recent iebc commission appointees including her had a dissenting opinion its soo telling,fact
@user and kenyans have accepted something from iebc a god chosen leader our president the 5th ️,fact
the 4 commissioners who were project of azimio brigades of interfering with iebc function in presidential election whereisbaba rutothefifth,neutral
chaos erupts in kibra a nairobi city suburb after iebc declaring ruto as the 5th,fake
atomixic @user will elections be conducted huko juu iebc lacks quorum,fake
president elect dr william samoei ruto today received his certificate from iebc chairman wafula chebukati it was my happiest moment what a time to be alive,fact
africaarise10 @user why don t you say about chebukati it s the president s to appoint all of them,neutral
hey can you daydream at night orengo the 4 kondele boniface mwangi raila odinga article 138 atwoli shame nairobi cbd baba the 6th wetangula congratulations wsr yaani east africa chief agent balala miguna miguna iebc chebukati ledama olekina babathe6th,neutral
the 4 malfeasant iebc commissioners can go hug cacti in turns,neutral
what chebukati has announced is the will of majority of kenyans we should be ready to support william ruto government either in opposition or government cand the 4 iebc commissioners were hired by azimio coalition,fact
kenya now has a new president elect and it is william samoei ruto iebc chairman wafula chebukati has announced the results at the bomas of kenya the announcement came after the azimio team team stormed out of the bomas of kenya,fact
shame on you hassanalijoho for nominating your girlfriend to iebc as a commissioner kenya is bigger than your girlfriend,fake
to sen olekina ledama how dare you assault the iebc chairman instead of getting the results and move to court system for petition,fact
you where here on transit we know thanks anyway for making quorum full at iebc,neutral
some few legal questions on this case scenario the scok nullifies the election and orders a repeat poll chebukati s term ends in september elections to be done in november who appoints the new iebc chairman steveogollaw wakwayakevin @user @user,fake
absolutely nobody azimio supporters to iebc,neutral
2 constitution is given effect by statutes established law tradition and conventions the parts relating to iebc is effectuated by the iebc act and the elections act that iebc chairman is returning officer was by gazette notice which can’t supplant the constitution or statutes,fact
denoxyl oh okay i really hope the evidence is shared with everyone the media the courts the public etc all in the spirit of transparency the 4 iebc officials should table their evidence also,fact
congratulations to the 5th president of the republic of kenya his excellency dr william ruto for being declared by iebc chairman wafula chebukati as the president elect congratulations my president,fact
sk machariaa his techno know how made him access the iebc portal with a simple calculator,neutral
this thing is not yet over 4 commissioners against no akombe flight quitting isn t in our dna illegalities and irregularities and opaque thuggery of iebc must be held to account,neutral
@user great work to iebc who set the foundations precedent for future elections in as far as data and tech goes,neutral
congratulations mr president all sovereign power belongs to the people of kenya thank you iebc for conducting fair and credible elections i urge us all to uphold peace sabina chege catholic university ledama kisumu atwoli iebc v2iwgjerhd,fact
"drone footage of developing scenes earlier after the announcement of the president results at kondele
kisumu chebukati iebc",neutral
the bomas drama queens didn t check the iebc portal,neutral
mugambinandi that also isn’t a viable option imho coz iebc now has time and opportunity to cover any malfeasances 2 internet chatter claims that there was a difference of like 600k votes btwn keims data and what was filed in 34as… can they apply to expunge just those,neutral
they wont dare the humiliation but we thank god for iebc they gave out the raw data that is unchallenged,fake
what happens after iebc announces kenya s fifth president,neutral
@user election is not a decision made by iebc it s not like iebc procurement or hiring of staff that need a decision by commissioners decision of elections is made by kenyans,fact
"there is no coincidence here
william ruto
raila odinga iebc
the 5th",fact
the four commissioners who walked out of bomas are the newly appointed ones it s now clear that they were in the iebc to safeguard other interests not serve kenya the action of today is treasonous and they ve lost any moral right to serve kenya in any capacity,fact
alaah muller has started and his the one who used to say iebc has no quorum it s like he s forgotten,neutral
@user independent electoral and boundary commission iebc,fact
"the next steps by the blue team is very predictable 1 they dispute the election results in supreme court 2 the supreme court rules the results were null and void and orders iebc to conduct a rerun
3 azimio insists they won t go to election with chebukati as iebc chair",fake
@user uhuru s puppets at iebc failed you what makes you think the courts will favour you its done over kaput,fake
iebc odpp kenya we expect you to charge @user and his colleagues for electoral offences in accordance with the laws of kenya,neutral
the 14 million kenyans who voted in the elections are the real winners and iebc is the real hero wafula chebukati iebc chairman ensured we have transparency free and fair elections kenya is safe in the hands of william ruto 5th president of kenya s4daw2v9ka,fact
@user am not a lawyer but l know a commissioner is not an iebc chair,fake
juliana cherera one of the deep state moles in iebc,fake
fck everything fck iebc kenya can not and will never conduct a free and fair elections,fake
nairobi streets empty as kenyans awaits iebc to declare their newly elected president,fact
maybe i was following a different iebc but how were the results opaque i thought the servers were open for everybody to see it might be my ignorance though,fact
babu owino is thug and he should produce that missing iebc officer,fake
the rebel commissioners are going to jail concession iebc congratulations william ruto,fake
those 4 iebc commissioners are pure why wait till now,neutral
breaking news crisis as 4 four iebc commissioners disown presidential results there s probability of cancelling his ruto victory,fake
kenya is great thank you iebc @user,fact
@user what chebukati has given is decision of the kenyan voters not iebc decision,fact
i want to congratulate the iebc for raising the bar william ruto,fact
iebc chairperson wafula chebukati declares william ruto the president elect decries intimidation arrests of officials,fact
breaking news congratulations dr william samoei ruto president elect and mr @user gachagua deputy president elect of the republic of kenya for your election victory despite facing an incumbent president opposition leader and part of an intimidated iebc commissioners rssh3pvwnr,neutral
william samoei ruto the 5th president of the republic of kenya iebcresults2022 iebc,fact
"keep peace
serena iebc electionske2022 @user",fact
so this is the iebc rebel commissioners gang leader juliana cherera kenya is such a complicated country,neutral
rodgerskipembe the 4 commissioners participated in the verification of the results for 46k polling centres didn t abandon the process for being opaque waited today when the iebc planned to announce then waited some more till 5pm then the chair walks in and they do a presser claim opaquenes egthtatck5,fact
nationbreaking iebc vice chair juliana cherera and four others were blackmailed,fake
we cannot take the ownership of the results that is going to be announced at the bomas of kenya because of the opaque nature of this last phase juliana cherera vicechair iebc kenyaelecetions2022,fact
ziloopi @user intelligence report says iebc servers hav been compromised,fake
4 iebc commissioners have already said the presidential results were opaque but wafula chebukati and his 3 commissioners are still determined to declare ruto the president elect,fact
@user the part azimio coalition wanted the world to see the sabotage and intimidation of iebc,fake
chebukati has worked in a commission of 3 before after the 2017 elections they worked for 4 years the law stipulates the minimum quorum iebc as currently constituted can announce a president elect the serena 4 commissioners have not resigned the commission is legally binding,neutral
stand off between iebc commissioners at the bomas of kenya over the presidential results four out of the seven commissioners are said to be in disagreement with the final tally over discrepancies vice chairman juliana cherera wanderi irene masit and justus nyang aya,fact
the 4 iebc commissioners are compromised,neutral
those commissioners in serena should have come out immediately things started to look off it doesn’t make sense for them to come out at the penultimate time we’re they azimio sleeper agents in iebc,neutral
@user iebc shouldn t be intimidated,fact
at iebc the titanic choir is going on although the ship sank at the end of the day,neutral
wamunyinyi iebc shouldn t be intimidated,neutral
iebc is a very irresponsible what is happening is not right,fake
chaos at bomas of kenya 4 iebc officials distance themselves from the final phase and call it opaque may the losing side concede defeat and may peace prevail what s going on this is madness,fact
sideshows the returning officer for presidential election is iebc chairman not all commissioners,fact
felooko hear mea out whatever concerns they have am sure there is a channel that takes care of them they are party to iebc s rules and regulations otherwise what s the purpose of an election,neutral
"joho s former chief of staff now iebc commissioner juliana cherera leading the four commissioners appointed by the handshake to decline results
iebc will not be stopped via violence odm violence
her appointment and making her vice chair was strategic",neutral
breaking news 4 iebc commissioners say that they cannot take ownership of the results that will be announced by chebukati,fact
and coincidentally the press briefing was at the exact same time as iebc chairman wafula chebukati’s announcement,fact
@user fek maze 2007 happened exactly like this raila had a presser with one iebc commissioner,fact
chebukati ledama iebc raila odinga @user stopped reggae literally,neutral
@user @user please explain more on the duties of the iebc commission and the thought behind the structure of this commission please make us understand very funny scenario here peaceandlove,neutral
majangchien he was the only one denied in the latest news iebc has split over the results,fact
iebc don t trust themselves,neutral
juliana cherere vice chairperson of iebc has called the result opaque and bolted to serene hotel what happens after this,fact
the 4 rebel commissioners of iebc the serena 4 have been announcing the results in turns how come on the last day they run they must reject the votes they announced from their mouths that have been tallied,neutral
"iebc commissioners have spit into two cands 
juliana cherera
francis wanderi
justus nyang’aya
irene masit have disowned the results to be announced by 
wafula chebukati
abdi yakub guliye boya molu under iebc act decisions are by majority minority decision is void",fact
should this country go into flames iebc commissioners should be sent straight to kamiti wrong timings the press conference at the highest point of the tension currently we are in is a no no,neutral
2 for the results vs 4 against iebc commissioners are split,fact
even iebc is a political party 2 yellow vs 4 blue commissioners electionske2022,fake
whatever happens in kenya iebc will be liable,neutral
iebc spent billions of tax payers money only to start giving us pressers,neutral
iebc had one job one job,fact
pray for mr chebukati his job might just be one of the toughest jobs in the world remember we have embakasi east iebc officer who vanished into thin air without a trace the other day may god keep kenya safe,fact
the vice chairperson of iebc has just admitted on live tv that they won’t take ownership of the presidential election results this means that what saitabao ole kanchory was correct iebc servers were hacked and imaginary figures inserted the election was flawed,fake
iebc commissioners reject the results,fact
chebukati boya and guliye are the main cause s of this iebc these three are corrupt to the core in 2017 they made akombe ran away and the three other commissioners resign,fake
today was supposed to be national relaxation day then there s iebc,neutral
iebc splitting and fighting over results reminds me of music festivals,neutral
breaking news divisions in iebc,fact
7 fvking days and they couldnt do it right what the fuck is wrong with iebc,fake
@user some iebc commissioners lol i just cant,neutral
iebc is doomed,neutral
part of the iebc commissioners are not for the results to be announced by chebukati what s happening,fact
we cannot take ownership of the results about to be announced iebc commissioners,fact
"the 4 iebc commissioners at serena hotel declare they won t take ownership and be part of the announcement to be made by wafula chebukati at bomas
my goodness",fact
the 4 iebc commissioners have done more harm than good in my opinion they should have been a team at bomas and let the aggrieved party sort themselves at supreme court,neutral
just in 4 out of 7 iebc commissioners led by vc mercy cherera addressing media at serena hotel after disagreeing with chebukati they have refused to take ownership and sign the results,fact
the statement from the iebc vice chair is a recipe for disaster let’s please maintain peace,neutral
iebc split over results,fact
iebc vice chairperson juliana cherera at serena hotel opaque nature of this last phase of the general election we re going to give comprehensive details,fact
4 out of 7 iebc commissioners led by vc mercy cherera addressing media at serena hotel after disagreeing with chebukati they have refused to take ownership and sign the results,fact
we can now see why they ve been calling the president from left right and center but kenya ni yetu sote how can one person hold the country hostage don t go to the courts force a rerun we go back to the ballot the way people are selfish wants to intimidate iebc,neutral
iebc is split over the presidential results those in serena hotel are saying they won’t take liability of the results drama starts now,fact
we blame the iebc,neutral
we cannot take ownership of the results that is going to be announced iebc commissioners,fact
iebc looks like they’ve split up,fact
"breaking
iebc commissioners in a standoff over who between raila odinga and william ruto should be declared winner of kenya s presidential race a credible source tells me all commissioners are behind raila apart from chairman chebukati who maintains ruto won two results",fake
iebc about to fcuk us up again,neutral
"there s a big problem at iebc split iebc
kenya in a dilemma help us god",fact
it was rigged iebc,fake
4 out of 7 iebc commissioners disown the results about to be announced by chebukati,fact
should chaos ensue iebc commissioners should all go to jail,neutral
press release by iebc serena hotel,neutral
4 iebc commissioners holding a separate presser what the fuck,fact
watch citizen iebc commissioners disagree with chebukati,fact
why would anyone in their right mind apply for this iebc job,neutral
iebc vice chairperson was just starting to address kenyans at serena hotel when the chairman appeared at bomas what confusion galore is this,neutral
what in the world is happening with iebc commissioners why the presser at serena,neutral
what is happening at iebc,neutral
iebc commisioners at serena hotel whats up,fact
some iebc commissioners giving a presser at serena what the fvck is happening,fact
separate iebc members doing a different presser at serena,fact
iebc commissioners at serena giving a presser,fact
iebc damn fuckiiiiiiiing country,neutral
iebc commissioners with the drama again,neutral
iebc commissioners at serena hotel briefing the press,fact
4 iebc commissioners at serena hotel to issue a statement live,fact
4 out of 7 iebc commissioners reportedly about to address the media at serena hotel,fact
no explanation from iebc as to the reason for delay,neutral
who in their infinite wisdom thinks the head of iebc would be doing a distress call via whatsapp status,neutral
iebc commissioners have disputed the results and told chebukati that they will not sign off that was the first stalemate even before the agents were called in it’s the reason chebukati went into hiding after he couldn’t convince his people the stalemate continues…,fact
@user green for iebc,neutral
it s looks like iebc is split once more the courts will be busy next week,neutral
yesternight at around 0030hrs iebc made the also announcements via commissioner irene masit of results from some constituencies then there were like 45 remaining to be announced then upto now i ve not heard them announced what happened to them,fact
even if iebc system was hacked they verified all the forms 34b,fake
linetchepkorir as kenyan it s time for chebukati wafula chair iebc to announce,neutral
0assaris aided with theft of iebc gadget and we all saw it right now see how she is behaving,fake
the announcement will be done tomorrow or just announced after seeing azimio leaders leaving the bomas of kenya we are used to this we hope iebc chairman chebukati was gonna give credible elections as they promised but here we are again,neutral
iebc please safe kenya of this anxiety announce the results,neutral
@user which kind of leadership is this what has the iebc been doing don t waste wananchi s time,neutral
@user just wondering haven t they seen the results until now from the polling stations to the iebc portal to the floor of bomas for the last 4days it s mind boggling,neutral
i honestly don’t see iebc chair wafula chebukati announcing the results today there is a stalemate,neutral
iebc pia wanafanya makosa bana wtf,neutral
@user they claim the iebc results were opaque i wonder what took them that long only for them to make a presser at the last minute,fact
but iebc is also not helping inform the public if there is a challengewith announcing the results people need to go back to their lives,neutral
iebc should just announce ruto and we move on,neutral
@user good stuff your final tally which i presume is from the forms 34b on the iebc portal is fairly consistent with the other similar public tallies,fact
thanks for sharing it,neutral
wsr 50 28percent 7 132m rao 48 98percent 6 947m out of 14 184m votes from 291 constituencies,fact
vote for your prefferd leader in ge2022,fact
moment of silence is now,neutral
independenceday williamsamoeiruto iebc raila atwoli joho sabinachege @user gachagua,fact
the tally by reubenmuhindi is similar to all other comprehensive public tallies that i’ve followed the logical arithmetic conclusion from forms 34b in iebc portal is wsr won so unless the physical verification at bomas springs a surprise,neutral
streaming karen kondele bomas and so on eagerly awaiting for the kenyans reaction after the 5th is announced iebc joho electionske2022 ruto raila,neutral
i told you this 24 hours ago it remains so iebc is king here at bomas at least i got the day and time of the announcement right,fact
even if the 8 pending constituencies had a 75percent turnout and rao garnered 75percent of all the votes it still won’t flip the win from rao the only remote possibility to overturn wsr win is iebc rejecting its uploaded forms 34a and 34b at the supreme court,fact
leilaformncd5 i disagree iebc has conducted the most credible election in kenya,fact
for how long will officials of iebc be sacked every time raila loses the commission must be disbanded i think it’s the voters and not the commission that have decided baba’s fate,neutral
"and the fifth president of kenya is
iebc says announcement to be made at 15h00 today",neutral
i have just heard lulu hassan of citizen tv saying that 30 minutes before iebc chair declares the presidential election results he will make 3 important calls he will first call president uhuru kenyatta then the winner of the 2022 elections and finally the loser,neutral
@user @user @user cooked figures waiting for iebc declaration,neutral
what is happening in bomas is iebc asserting it s authority on its independence as a commission it is psychologically testing our patience and toying with our anxiety the music and fanfare are brought to a standstill and silence prevails in the hall to assert it s authority,neutral
so *unless* it emerges there are serious irregularities and discrepancies in the forms 34b in the iebc portal of which thus far 253 physically verified forms 34b did not show any significant errors the results on the forms 34b point to a wsr win,neutral
btw chances za this election kuwa nullified through a petition ni very slim one of points ya training ya iebc poll officials ilikuwa uniformity so hakuna irregularities na discrepancies kwa forms 34,fact
kenyans waiting for iebc to announce the 5th choir in bomas,fact
celebration in kondele ahead of iebc declaration,neutral
is his ruguru village home a polling station why is there an iebc banner,fake
just in iebc chair wafula chebukati is set to announce final presidential results at 3pm at bomas of kenya,neutral
iebc to announce presidential results at 3pm,neutral
were it not for a transparent iebc azimio would have burnt this country azimio politicians are tweeting baba the fifth and including his presidential portrait masses gets excited especially the illiterate but it s 2022 and everyone knows the truth amkiprotich papamindu,neutral
the mandela moment this shall happen if the runner up in the presidental election stands up and publicly concedes defeat this is possible today if all the 4 gentlemen will honor the invitation from the returning officer iebc chair @user tv47ke cnn the odm party uda kenya,fake
the first election in kenya where everyone is clueless about the presidential results except the iebc chairman,neutral
we hope iebc chair wafula chebukati will also be magnanimous to share with us his bald care routine,fact
the great assumption that iebc will clarify is that the 21 926 565 excludes the 84 polling station and 154 polling stations in kibwezi west and kakamega county this tallies to 238 fact is a polling station has a max of 700 voters which means a max of 166 600 voters,fact
@user this one is kenyatta family’s lawyer is this a plan to fail iebc skeptic,neutral
@useris this how you can prove the credibility of your client or his robots planted in iebc,neutral
the four iebc mazematicians commissioners are writing their compositions and narratives from amboseli,neutral
abuga makori benardouko36 how i hope azimio does not just sit and hope all will be well at scok the way we thought iebc would what if they compromised the majority at supreme court do you think anyone will believe us anymore of our concerns they better wake up and face all possibilities even bribing,neutral
"tomorrow a mass funeral for all the propaganda you have been treated to will be conducted at the scork media houses were hacked
* we won according to our tally
* 0 01 percent is 144 000
* iebc forms were infiltrated",fact
